"Variabile","Maschi","Femmine","Totale","Informazioni"
"Popolazione censita al 1° gennaio","4688","4946","9634","p"
"Nati vivi","37","39","76","p"
"Morti","38","49","87","p"
"Saldo naturale","-1","-10","-11","p"
"Immigrati da altro comune","53","48","101","p"
"Emigrati per altro comune","90","83","173","p"
"Saldo migratorio interno","-37","-35","-72","p"
"Immigrati dall'estero","26","18","44","p"
"Emigrati per l'estero","9","6","15","p"
"Saldo migratorio con l'estero","17","12","29","p"
"Unità in più/meno dovute a variazioni territoriali","0","0","0","p"
"Popolazione al 31 dicembre","4667","4913","9580","p"
"Iscritti per altri motivi (v)","3","1","4","p"
"Cancellati per altri motivi (v)","17","11","28","p"
