"Variabile","Maschi","Femmine","Totale"
"Popolazione censita al 1° gennaio","4784","5045","9829"
"Nati vivi","44","42","86"
"Morti","43","65","108"
"Saldo naturale","1","-23","-22"
"Immigrati da altro Comune","49","43","92"
"Emigrati per altro Comune","84","93","177"
"Saldo migratorio interno","-35","-50","-85"
"Immigrati dall'estero","32","26","58"
"Emigrati per l'estero","11","5","16"
"Saldo migratorio con l'estero","21","21","42"
"Unità in più/meno dovute a variazioni territoriali","0","0","0"
"Aggiustamento statistico","-6","4","-2"
"Saldo totale","-19","-48","-67"
"Popolazione censita al 31 dicembre","4765","4997","9762"
"Numero di famiglie al 31 dicembre","","","4062"
"Popolazione censita al 31 dicembre residente in famiglia","4752","4984","9736"
"Numero medio di componenti per famiglia al 31 dicembre","","","2.4"
"Numero di convivenze al 31 dicembre","","","3"
"Popolazione censita al 31 dicembre residente in convivenza","13","13","26"
