"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale anagrafico","Iscritti in anagrafe da altro comune","Cancellati dall'anagrafe per altro comune","Saldo migratorio anagrafico interno","Iscritti in anagrafe dall'estero","Cancellati dall'anagrafe per l'estero","Saldo migratorio anagrafico estero","Iscritti in anagrafe per altri motivi","Cancellati dall'anagrafe per altri motivi","Saldo anagrafico per altri motivi","Iscritti in anagrafe in totale","Cancellati dall'anagrafe in totale","Saldo migratorio anagrafico e per altri motivi","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Informazioni"
"Gennaio","Maschi","4843","2","5","-3","6","7","-1","1","0","1","0","0","0","7","7","0","0","4840",""
"Gennaio","Femmine","5185","3","7","-4","9","12","-3","4","1","3","0","0","0","13","13","0","0","5181",""
"Gennaio","Totale","10028","5","12","-7","15","19","-4","5","1","4","0","0","0","20","20","0","0","10021",""
"Febbraio","Maschi","4840","5","9","-4","6","6","0","1","0","1","0","0","0","7","6","1","0","4837",""
"Febbraio","Femmine","5181","4","6","-2","3","7","-4","0","0","0","0","1","-1","3","8","-5","0","5174",""
"Febbraio","Totale","10021","9","15","-6","9","13","-4","1","0","1","0","1","-1","10","14","-4","0","10011",""
"Marzo","Maschi","4837","3","7","-4","1","3","-2","2","1","1","2","2","0","5","6","-1","0","4832",""
"Marzo","Femmine","5174","3","5","-2","2","6","-4","1","0","1","5","0","5","8","6","2","0","5174",""
"Marzo","Totale","10011","6","12","-6","3","9","-6","3","1","2","7","2","5","13","12","1","0","10006",""
"Aprile","Maschi","4832","4","3","1","2","5","-3","1","0","1","0","1","-1","3","6","-3","0","4830",""
"Aprile","Femmine","5174","2","6","-4","2","3","-1","0","1","-1","0","0","0","2","4","-2","0","5168",""
"Aprile","Totale","10006","6","9","-3","4","8","-4","1","1","0","0","1","-1","5","10","-5","0","9998",""
"Maggio","Maschi","4830","2","6","-4","5","7","-2","1","0","1","1","2","-1","7","9","-2","0","4824",""
"Maggio","Femmine","5168","3","9","-6","0","10","-10","3","0","3","1","0","1","4","10","-6","0","5156",""
"Maggio","Totale","9998","5","15","-10","5","17","-12","4","0","4","2","2","0","11","19","-8","0","9980",""
"Giugno","Maschi","4824","1","4","-3","6","7","-1","1","0","1","1","0","1","8","7","1","0","4822",""
"Giugno","Femmine","5156","1","6","-5","5","6","-1","0","0","0","0","1","-1","5","7","-2","0","5149",""
"Giugno","Totale","9980","2","10","-8","11","13","-2","1","0","1","1","1","0","13","14","-1","0","9971",""
"Luglio","Maschi","4822","6","3","3","12","12","0","1","0","1","0","0","0","13","12","1","0","4826",""
"Luglio","Femmine","5149","3","2","1","4","6","-2","3","0","3","0","1","-1","7","7","0","0","5150",""
"Luglio","Totale","9971","9","5","4","16","18","-2","4","0","4","0","1","-1","20","19","1","0","9976",""
"Agosto","Maschi","4826","8","3","5","7","7","0","3","0","3","0","2","-2","10","9","1","0","4832",""
"Agosto","Femmine","5150","3","1","2","5","7","-2","1","0","1","0","1","-1","6","8","-2","0","5150",""
"Agosto","Totale","9976","11","4","7","12","14","-2","4","0","4","0","3","-3","16","17","-1","0","9982",""
"Settembre","Maschi","4832","6","1","5","14","6","8","5","0","5","1","0","1","20","6","14","0","4851",""
"Settembre","Femmine","5150","3","7","-4","13","11","2","2","0","2","0","0","0","15","11","4","0","5150",""
"Settembre","Totale","9982","9","8","1","27","17","10","7","0","7","1","0","1","35","17","18","0","10001",""
"Ottobre","Maschi","4851","5","7","-2","9","9","0","8","0","8","0","0","0","17","9","8","0","4857",""
"Ottobre","Femmine","5150","1","5","-4","8","13","-5","6","0","6","0","1","-1","14","14","0","0","5146",""
"Ottobre","Totale","10001","6","12","-6","17","22","-5","14","0","14","0","1","-1","31","23","8","0","10003",""
"Novembre","Maschi","4857","2","5","-3","2","7","-5","1","1","0","0","1","-1","3","9","-6","0","4848",""
"Novembre","Femmine","5146","4","6","-2","7","5","2","0","0","0","0","1","-1","7","6","1","0","5145",""
"Novembre","Totale","10003","6","11","-5","9","12","-3","1","1","0","0","2","-2","10","15","-5","0","9993",""
"Dicembre","Maschi","4848","2","6","-4","6","4","2","2","1","1","0","2","-2","8","7","1","0","4845",""
"Dicembre","Femmine","5145","5","7","-2","3","6","-3","2","1","1","0","1","-1","5","8","-3","0","5140",""
"Dicembre","Totale","9993","7","13","-6","9","10","-1","4","2","2","0","3","-3","13","15","-2","0","9985",""
"Saldo censuario totale","Maschi","","","","","","","","","","","","","","","","","","-66",""
"Saldo censuario totale","Femmine","","","","","","","","","","","","","","","","","","-64",""
"Saldo censuario totale","Totale","","","","","","","","","","","","","","","","","","-130",""
"Popolazione al 31 dicembre","Maschi","","","","","","","","","","","","","","","","","","4779",""
"Popolazione al 31 dicembre","Femmine","","","","","","","","","","","","","","","","","","5076",""
"Popolazione al 31 dicembre","Totale","","","","","","","","","","","","","","","","","","9855",""
