"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Immigrati da altro Comune","Emigrati per altro Comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo"
"Gennaio","Maschi","4784","3","4","-1","6","14","-8","2","1","1","0","4776"
"Gennaio","Femmine","5045","2","7","-5","5","8","-3","4","0","4","0","5041"
"Gennaio","Totale","9829","5","11","-6","11","22","-11","6","1","5","0","9817"
"Febbraio","Maschi","4776","3","3","0","3","4","-1","1","0","1","0","4776"
"Febbraio","Femmine","5041","2","5","-3","2","7","-5","0","0","0","0","5033"
"Febbraio","Totale","9817","5","8","-3","5","11","-6","1","0","1","0","9809"
"Marzo","Maschi","4776","4","1","3","4","9","-5","3","3","0","0","4774"
"Marzo","Femmine","5033","3","6","-3","8","11","-3","2","4","-2","0","5025"
"Marzo","Totale","9809","7","7","0","12","20","-8","5","7","-2","0","9799"
"Aprile","Maschi","4774","7","3","4","6","5","1","8","1","7","0","4786"
"Aprile","Femmine","5025","7","5","2","5","9","-4","4","0","4","0","5027"
"Aprile","Totale","9799","14","8","6","11","14","-3","12","1","11","0","9813"
"Maggio","Maschi","4786","4","6","-2","3","6","-3","1","1","0","0","4781"
"Maggio","Femmine","5027","3","9","-6","2","8","-6","0","0","0","0","5015"
"Maggio","Totale","9813","7","15","-8","5","14","-9","1","1","0","0","9796"
"Giugno","Maschi","4781","1","4","-3","4","10","-6","0","0","0","0","4772"
"Giugno","Femmine","5015","5","5","0","7","7","0","1","1","0","0","5015"
"Giugno","Totale","9796","6","9","-3","11","17","-6","1","1","0","0","9787"
"Luglio","Maschi","4772","4","4","0","1","4","-3","1","2","-1","0","4768"
"Luglio","Femmine","5015","3","3","0","0","6","-6","2","0","2","0","5011"
"Luglio","Totale","9787","7","7","0","1","10","-9","3","2","1","0","9779"
"Agosto","Maschi","4768","4","3","1","5","7","-2","5","1","4","0","4771"
"Agosto","Femmine","5011","3","4","-1","5","7","-2","8","0","8","0","5016"
"Agosto","Totale","9779","7","7","0","10","14","-4","13","1","12","0","9787"
"Settembre","Maschi","4771","4","2","2","7","11","-4","1","0","1","0","4770"
"Settembre","Femmine","5016","2","6","-4","3","9","-6","2","0","2","0","5008"
"Settembre","Totale","9787","6","8","-2","10","20","-10","3","0","3","0","9778"
"Ottobre","Maschi","4770","2","4","-2","5","10","-5","5","0","5","0","4768"
"Ottobre","Femmine","5008","2","3","-1","4","8","-4","2","0","2","0","5005"
"Ottobre","Totale","9778","4","7","-3","9","18","-9","7","0","7","0","9773"
"Novembre","Maschi","4768","3","3","0","3","2","1","3","1","2","0","4771"
"Novembre","Femmine","5005","3","7","-4","2","10","-8","0","0","0","0","4993"
"Novembre","Totale","9773","6","10","-4","5","12","-7","3","1","2","0","9764"
"Dicembre","Maschi","4771","5","6","-1","2","2","0","2","1","1","0","4771"
"Dicembre","Femmine","4993","7","5","2","0","3","-3","1","0","1","0","4993"
"Dicembre","Totale","9764","12","11","1","2","5","-3","3","1","2","0","9764"
"Aggiustamento statistico","Maschi","","","","","","","","","","","","-6"
"Aggiustamento statistico","Femmine","","","","","","","","","","","","4"
"Aggiustamento statistico","Totale","","","","","","","","","","","","-2"
"Popolazione censita al 31 dicembre","Maschi","","","","","","","","","","","","4765"
"Popolazione censita al 31 dicembre","Femmine","","","","","","","","","","","","4997"
"Popolazione censita al 31 dicembre","Totale","","","","","","","","","","","","9762"
