"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo"
"Gennaio","Maschi","4765","3","7","-4","7","23","-16","2","0","2","0","4747"
"Gennaio","Femmine","4997","6","3","3","5","10","-5","3","0","3","0","4998"
"Gennaio","Totale","9762","9","10","-1","12","33","-21","5","0","5","0","9745"
"Febbraio","Maschi","4747","3","4","-1","4","4","0","1","1","0","0","4746"
"Febbraio","Femmine","4998","5","3","2","3","8","-5","0","1","-1","0","4994"
"Febbraio","Totale","9745","8","7","1","7","12","-5","1","2","-1","0","9740"
"Marzo","Maschi","4746","2","4","-2","6","11","-5","2","2","0","0","4739"
"Marzo","Femmine","4994","4","3","1","6","10","-4","8","0","8","0","4999"
"Marzo","Totale","9740","6","7","-1","12","21","-9","10","2","8","0","9738"
"Aprile","Maschi","4739","3","5","-2","5","5","0","3","3","0","0","4737"
"Aprile","Femmine","4999","4","5","-1","4","8","-4","2","1","1","0","4995"
"Aprile","Totale","9738","7","10","-3","9","13","-4","5","4","1","0","9732"
"Maggio","Maschi","4737","5","6","-1","9","6","3","1","2","-1","0","4738"
"Maggio","Femmine","4995","6","2","4","5","8","-3","2","2","0","0","4996"
"Maggio","Totale","9732","11","8","3","14","14","0","3","4","-1","0","9734"
"Giugno","Maschi","4738","2","5","-3","1","4","-3","0","3","-3","0","4729"
"Giugno","Femmine","4996","1","6","-5","4","2","2","0","1","-1","0","4992"
"Giugno","Totale","9734","3","11","-8","5","6","-1","0","4","-4","0","9721"
"Luglio","Maschi","4729","3","4","-1","3","9","-6","8","1","7","0","4729"
"Luglio","Femmine","4992","0","7","-7","4","10","-6","6","2","4","0","4983"
"Luglio","Totale","9721","3","11","-8","7","19","-12","14","3","11","0","9712"
"Agosto","Maschi","4729","2","4","-2","5","8","-3","2","1","1","0","4725"
"Agosto","Femmine","4983","3","3","0","8","11","-3","0","0","0","0","4980"
"Agosto","Totale","9712","5","7","-2","13","19","-6","2","1","1","0","9705"
"Settembre","Maschi","4725","5","2","3","6","16","-10","0","0","0","0","4718"
"Settembre","Femmine","4980","4","1","3","9","21","-12","1","0","1","0","4972"
"Settembre","Totale","9705","9","3","6","15","37","-22","1","0","1","0","9690"
"Ottobre","Maschi","4718","6","3","3","3","12","-9","2","4","-2","0","4710"
"Ottobre","Femmine","4972","3","5","-2","6","6","0","3","1","2","0","4972"
"Ottobre","Totale","9690","9","8","1","9","18","-9","5","5","0","0","9682"
"Novembre","Maschi","4710","3","4","-1","5","6","-1","1","0","1","0","4709"
"Novembre","Femmine","4972","2","5","-3","3","12","-9","0","1","-1","0","4959"
"Novembre","Totale","9682","5","9","-4","8","18","-10","1","1","0","0","9668"
"Dicembre","Maschi","4709","4","5","-1","3","11","-8","2","1","1","0","4701"
"Dicembre","Femmine","4959","5","5","0","0","6","-6","0","1","-1","0","4952"
"Dicembre","Totale","9668","9","10","-1","3","17","-14","2","2","0","0","9653"
"Aggiustamento statistico","Maschi","","","","","","","","","","","","-11"
"Aggiustamento statistico","Femmine","","","","","","","","","","","","-10"
"Aggiustamento statistico","Totale","","","","","","","","","","","","-21"
"Popolazione censita al 31 dicembre","Maschi","","","","","","","","","","","","4690"
"Popolazione censita al 31 dicembre","Femmine","","","","","","","","","","","","4942"
"Popolazione censita al 31 dicembre","Totale","","","","","","","","","","","","9632"
