"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Iscritti per altri motivi (v)","Cancellati per altri motivi (v)","Informazioni"
"Gennaio","Maschi","4673","2","4","-2","5","13","-8","2","1","1","0","4664","0","3","p"
"Gennaio","Femmine","4932","4","9","-5","4","13","-9","2","0","2","0","4920","0","0","p"
"Gennaio","Totale","9605","6","13","-7","9","26","-17","4","1","3","0","9584","0","3","p"
"Febbraio","Maschi","4664","1","3","-2","3","5","-2","1","1","0","0","4660","0","6","p"
"Febbraio","Femmine","4920","3","1","2","2","4","-2","1","0","1","0","4921","0","3","p"
"Febbraio","Totale","9584","4","4","0","5","9","-4","2","1","1","0","9581","0","9","p"
"Marzo","Maschi","4660","3","2","1","7","3","4","5","0","5","0","4670","0","0","p"
"Marzo","Femmine","4921","3","7","-4","4","5","-1","1","0","1","0","4917","0","0","p"
"Marzo","Totale","9581","6","9","-3","11","8","3","6","0","6","0","9587","0","0","p"
"Aprile","Maschi","4670","3","3","0","4","7","-3","0","2","-2","0","4665","0","1","p"
"Aprile","Femmine","4917","2","3","-1","6","8","-2","1","0","1","0","4915","0","1","p"
"Aprile","Totale","9587","5","6","-1","10","15","-5","1","2","-1","0","9580","0","2","p"
"Maggio","Maschi","4665","3","4","-1","5","4","1","4","1","3","0","4668","0","1","p"
"Maggio","Femmine","4915","2","3","-1","3","8","-5","1","0","1","0","4910","0","0","p"
"Maggio","Totale","9580","5","7","-2","8","12","-4","5","1","4","0","9578","0","1","p"
"Giugno","Maschi","4668","4","2","2","6","4","2","4","0","4","0","4676","1","0","p"
"Giugno","Femmine","4910","2","4","-2","4","6","-2","2","0","2","0","4908","0","2","p"
"Giugno","Totale","9578","6","6","0","10","10","0","6","0","6","0","9584","1","2","p"
