"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Iscritti per altri motivi (v)","Cancellati per altri motivi (v)","Informazioni"
"Gennaio","Maschi","4667","3","3","0","6","7","-1","4","1","3","0","4669","1","0","p"
"Gennaio","Femmine","4913","2","6","-4","11","6","5","1","0","1","0","4915","0","0","p"
"Gennaio","Totale","9580","5","9","-4","17","13","4","5","1","4","0","9584","1","0","p"
"Febbraio","Maschi","4669","2","5","-3","2","13","-11","1","1","0","0","4655","1","4","p"
"Febbraio","Femmine","4915","4","6","-2","3","13","-10","3","1","2","0","4905","0","4","p"
"Febbraio","Totale","9584","6","11","-5","5","26","-21","4","2","2","0","9560","1","8","p"
"Marzo","Maschi","4655","4","6","-2","3","6","-3","4","1","3","0","4653","0","0","p"
"Marzo","Femmine","4905","5","4","1","2","5","-3","3","0","3","0","4906","0","0","p"
"Marzo","Totale","9560","9","10","-1","5","11","-6","7","1","6","0","9559","0","0","p"
"Aprile","Maschi","4653","3","4","-1","3","12","-9","3","0","3","0","4646","0","1","p"
"Aprile","Femmine","4906","1","5","-4","7","6","1","2","0","2","0","4905","0","3","p"
"Aprile","Totale","9559","4","9","-5","10","18","-8","5","0","5","0","9551","0","4","p"
