"Variabile","Maschi","Femmine","Totale","Informazioni"
"Popolazione censita al 1° gennaio","395","312","707","p"
"Nati vivi","3","9","12","p"
"Morti","1","0","1","p"
"Saldo naturale","2","9","11","p"
"Immigrati da altro comune","5","3","8","p"
"Emigrati per altro comune","19","14","33","p"
"Saldo migratorio interno","-14","-11","-25","p"
"Immigrati dall'estero","22","17","39","p"
"Emigrati per l'estero","0","0","0","p"
"Saldo migratorio con l'estero","22","17","39","p"
"Acquisizioni della cittadinanza italiana","19","16","35","p"
"Unità in più/meno dovute a variazioni territoriali","0","0","0","p"
"Popolazione al 31 dicembre","386","311","697","p"
"Iscritti in anagrafe per altri motivi (v)","2","1","3","p"
"Cancellati dall'anagrafe per altri motivi (v)","16","9","25","p"
