"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","44","0","0","0","","","","44","41","0","0","0","","","","41","85"
"1","36","0","0","0","","","","36","37","0","0","0","","","","37","73"
"2","46","0","0","0","","","","46","33","0","0","0","","","","33","79"
"3","44","0","0","0","","","","44","53","0","0","0","","","","53","97"
"4","48","0","0","0","","","","48","34","0","0","0","","","","34","82"
"5","59","0","0","0","","","","59","52","0","0","0","","","","52","111"
"6","42","0","0","0","","","","42","41","0","0","0","","","","41","83"
"7","73","0","0","0","","","","73","49","0","0","0","","","","49","122"
"8","44","0","0","0","","","","44","43","0","0","0","","","","43","87"
"9","65","0","0","0","","","","65","50","0","0","0","","","","50","115"
"10","43","0","0","0","","","","43","49","0","0","0","","","","49","92"
"11","46","0","0","0","","","","46","43","0","0","0","","","","43","89"
"12","44","0","0","0","","","","44","50","0","0","0","","","","50","94"
"13","41","0","0","0","","","","41","48","0","0","0","","","","48","89"
"14","46","0","0","0","","","","46","38","0","0","0","","","","38","84"
"15","37","0","0","0","","","","37","42","0","0","0","","","","42","79"
"16","52","0","0","0","","","","52","54","0","0","0","","","","54","106"
"17","52","0","0","0","","","","52","55","0","0","0","","","","55","107"
"18","41","0","0","0","","","","41","55","0","0","0","","","","55","96"
"19","48","0","0","0","","","","48","50","0","0","0","","","","50","98"
"20","57","0","0","0","","","","57","62","2","0","0","","","","64","121"
"21","61","0","0","0","","","","61","43","2","0","0","","","","45","106"
"22","67","0","0","0","","","","67","56","3","0","0","","","","59","126"
"23","62","0","0","0","","","","62","45","5","0","0","","","","50","112"
"24","56","1","0","0","","","","57","50","2","0","0","","","","52","109"
"25","61","7","0","0","","","","68","36","8","0","0","","","","44","112"
"26","52","4","0","0","","","","56","57","10","0","0","","","","67","123"
"27","53","7","0","0","","","","60","35","13","0","0","","","","48","108"
"28","42","6","1","0","","","","49","28","17","0","0","","","","45","94"
"29","46","13","0","0","","","","59","40","26","0","0","","","","66","125"
"30","42","13","0","0","","","","55","44","24","0","0","","","","68","123"
"31","43","16","0","0","","","","59","25","26","0","0","","","","51","110"
