"Anno","Cittadinanza","Maschi","Femmine","Totale"
"2005","Italia","4885","5395","10280"
"2005","Albania","3","3","6"
"2005","Algeria","7","1","8"
"2005","Argentina","1","1","2"
"2005","Belgio","0","1","1"
"2005","Bulgaria","2","0","2"
"2005","Canada","0","1","1"
"2005","Egitto","2","0","2"
"2005","Federazione russa","1","2","3"
"2005","Francia","2","0","2"
"2005","Gambia","1","0","1"
"2005","India","1","0","1"
"2005","Marocco","131","52","183"
"2005","Messico","0","1","1"
"2005","Moldova","1","0","1"
"2005","Pakistan","1","0","1"
"2005","Polonia","0","1","1"
"2005","Romania","30","21","51"
"2005","Serbia","1","0","1"
"2005","Slovacchia","0","1","1"
"2005","Stati Uniti d'America","1","2","3"
"2005","Tunisia","1","0","1"
"2005","Ucraina","3","4","7"
"2005","Totale","5074","5486","10560"
