"Età","Maschi","Femmine","Totale"
"0","11","8","19"
"1","1","4","5"
"2","4","4","8"
"3","7","2","9"
"4","10","10","20"
"5","6","7","13"
"6","4","6","10"
"7","10","5","15"
"8","9","7","16"
"9","5","10","15"
"10","4","4","8"
"11","4","3","7"
"12","5","6","11"
"13","8","1","9"
"14","2","2","4"
"15","2","7","9"
"16","7","4","11"
"17","1","7","8"
"18","4","7","11"
"19","3","1","4"
"20","7","0","7"
"21","8","0","8"
"22","4","5","9"
"23","8","3","11"
"24","10","3","13"
"25","5","3","8"
"26","2","1","3"
"27","5","6","11"
"28","1","8","9"
"29","4","5","9"
"30","2","2","4"
"31","9","5","14"
"32","9","5","14"
"33","7","7","14"
"34","13","5","18"
"35","8","7","15"
"36","6","6","12"
"37","10","10","20"
"38","8","9","17"
"39","7","4","11"
"40","9","5","14"
"41","13","7","20"
"42","8","3","11"
"43","10","2","12"
"44","7","5","12"
"45","7","5","12"
"46","9","9","18"
"47","7","5","12"
"48","8","5","13"
"49","5","3","8"
"50","5","3","8"
"51","2","5","7"
"52","5","3","8"
"53","1","4","5"
"54","7","6","13"
"55","3","1","4"
"56","1","2","3"
"57","7","4","11"
"58","2","2","4"
"59","4","1","5"
"60","3","1","4"
"61","1","3","4"
"62","2","1","3"
"63","3","4","7"
"64","3","1","4"
"65","0","3","3"
"66","2","0","2"
"67","3","2","5"
"68","0","2","2"
"69","2","0","2"
"70","2","1","3"
"71","0","0","0"
"72","1","0","1"
"73","1","1","2"
"74","1","0","1"
"75","0","2","2"
"76","0","0","0"
"77","0","0","0"
"78","0","0","0"
"79","0","1","1"
"80","0","0","0"
"81","0","0","0"
"82","0","0","0"
"83","0","0","0"
"84","0","1","1"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","1","1"
"96","0","0","0"
"97","0","0","0"
"98","0","1","1"
"99","0","0","0"
"100 e oltre","0","0","0"
"Totale","384","304","688"
