Codice provincia;Provincia;Codice comune;Comune;Sesso;Età;Anno 1982;Anno 1983;Anno 1984;Anno 1985;Anno 1986;Anno 1987;Anno 1988;Anno 1989;Anno 1990;Anno 1991
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;0;179;191;152;156;168;189;157;147;169;129
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;1;154;177;184;153;146;168;184;149;140;166
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;2;157;152;174;177;147;144;163;178;144;137
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;3;183;157;150;173;170;145;139;156;170;146
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;4;166;186;159;148;171;170;146;138;149;167
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;5;186;162;183;162;145;177;169;144;136;142
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;6;181;182;172;178;156;141;177;167;138;131
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;7;168;179;183;169;176;156;142;173;158;134
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;8;179;168;180;180;166;177;160;139;171;153
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;9;203;176;172;180;175;168;178;155;138;172
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;10;184;202;179;168;176;175;166;174;153;138
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;11;189;186;203;180;169;176;174;165;167;153
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;12;192;187;178;203;184;172;176;176;159;165
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;13;181;190;184;177;202;184;172;174;176;159
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;14;187;183;185;182;180;199;184;173;176;174
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;15;202;183;178;188;184;169;200;183;171;173
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;16;211;202;180;181;184;182;171;199;180;173
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;17;211;207;196;177;177;185;183;167;196;181
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;18;200;203;201;198;178;177;176;184;163;195
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;19;202;193;203;204;194;177;183;173;176;162
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;20;184;193;186;207;200;197;175;175;166;176
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;21;181;181;193;184;205;190;189;171;177;160
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;22;204;183;189;182;184;199;189;188;167;177
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;23;140;203;180;182;178;184;194;176;178;155
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;24;181;136;193;174;182;182;177;195;177;169
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;25;149;177;139;187;166;179;180;182;188;174
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;26;167;151;179;137;184;167;175;175;179;181
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;27;139;162;146;169;137;179;160;167;167;175
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;28;136;135;160;146;156;133;171;160;158;167
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;29;135;132;131;164;144;160;134;169;151;152
080;REGGIO DI CALABRIA;080028;CITTANOVA;T;30;156;134;131;129;158;142;156;136;164;149
