Codice provincia,Provincia,Codice comune,Comune,Sesso,Età,Anno 1982,Anno 1983,Anno 1984,Anno 1985,Anno 1986,Anno 1987,Anno 1988,Anno 1989,Anno 1990,Anno 1991
080,REGGIO DI CALABRIA,080001,AFRICO,T,0,61,66,78,65,70,78,63,61,57,60
080,REGGIO DI CALABRIA,080001,AFRICO,T,1,72,59,64,74,65,70,70,58,58,56
080,REGGIO DI CALABRIA,080001,AFRICO,T,2,61,72,59,61,71,62,69,64,55,53
080,REGGIO DI CALABRIA,080001,AFRICO,T,3,58,62,71,57,61,67,60,70,59,55
080,REGGIO DI CALABRIA,080001,AFRICO,T,4,68,58,62,69,56,58,65,57,67,59
080,REGGIO DI CALABRIA,080001,AFRICO,T,5,64,64,57,60,72,56,60,64,53,64
080,REGGIO DI CALABRIA,080001,AFRICO,T,6,73,64,65,56,61,68,58,55,60,55
080,REGGIO DI CALABRIA,080001,AFRICO,T,7,54,75,63,67,53,61,71,55,50,58
080,REGGIO DI CALABRIA,080001,AFRICO,T,8,68,53,71,63,63,51,58,68,55,51
080,REGGIO DI CALABRIA,080001,AFRICO,T,9,59,67,52,70,61,63,53,55,65,56
080,REGGIO DI CALABRIA,080001,AFRICO,T,10,76,56,67,51,71,60,63,51,55,66
080,REGGIO DI CALABRIA,080001,AFRICO,T,11,63,76,57,67,50,69,65,59,47,55
080,REGGIO DI CALABRIA,080001,AFRICO,T,12,75,61,77,56,66,50,70,59,59,47
080,REGGIO DI CALABRIA,080001,AFRICO,T,13,64,73,62,76,55,64,47,72,58,56
080,REGGIO DI CALABRIA,080001,AFRICO,T,14,70,63,75,60,74,54,63,47,69,57
080,REGGIO DI CALABRIA,080001,AFRICO,T,15,61,69,61,73,62,73,55,63,47,68
080,REGGIO DI CALABRIA,080001,AFRICO,T,16,68,60,70,61,70,63,73,52,62,45
080,REGGIO DI CALABRIA,080001,AFRICO,T,17,85,65,60,68,61,71,60,66,52,62
080,REGGIO DI CALABRIA,080001,AFRICO,T,18,73,84,65,60,69,61,69,62,64,52
080,REGGIO DI CALABRIA,080001,AFRICO,T,19,64,72,78,64,59,68,62,68,61,60
080,REGGIO DI CALABRIA,080001,AFRICO,T,20,73,62,68,79,63,58,67,59,61,59
080,REGGIO DI CALABRIA,080001,AFRICO,T,21,89,71,63,65,78,60,58,67,57,58
080,REGGIO DI CALABRIA,080001,AFRICO,T,22,76,81,64,61,63,78,61,61,64,56
080,REGGIO DI CALABRIA,080001,AFRICO,T,23,67,79,75,62,57,60,72,55,57,63
080,REGGIO DI CALABRIA,080001,AFRICO,T,24,83,65,74,76,62,57,60,70,53,54
080,REGGIO DI CALABRIA,080001,AFRICO,T,25,62,84,62,75,76,60,57,54,68,51
080,REGGIO DI CALABRIA,080001,AFRICO,T,26,64,57,81,58,70,67,53,50,51,65
080,REGGIO DI CALABRIA,080001,AFRICO,T,27,57,63,54,79,59,69,63,50,49,45
080,REGGIO DI CALABRIA,080001,AFRICO,T,28,63,54,63,57,79,53,65,61,46,49
080,REGGIO DI CALABRIA,080001,AFRICO,T,29,62,61,50,57,57,73,52,58,59,44
080,REGGIO DI CALABRIA,080001,AFRICO,T,30,39,57,61,48,56,56,68,50,57,56
080,REGGIO DI CALABRIA,080001,AFRICO,T,31,59,36,56,62,49,51,50,59,49,58
080,REGGIO DI CALABRIA,080001,AFRICO,T,32,42,59,35,55,60,48,53,46,57,45
080,REGGIO DI CALABRIA,080001,AFRICO,T,33,53,40,56,34,53,58,49,52,43,55
080,REGGIO DI CALABRIA,080001,AFRICO,T,34,36,51,41,57,31,52,52,46,49,43
080,REGGIO DI CALABRIA,080001,AFRICO,T,35,42,37,50,38,54,30,51,54,44,50
080,REGGIO DI CALABRIA,080001,AFRICO,T,36,37,42,36,47,40,55,28,51,49,45
080,REGGIO DI CALABRIA,080001,AFRICO,T,37,33,39,39,35,47,42,56,26,47,48
080,REGGIO DI CALABRIA,080001,AFRICO,T,38,25,31,37,39,38,45,39,51,26,48
080,REGGIO DI CALABRIA,080001,AFRICO,T,39,31,25,31,36,35,40,44,38,50,24
080,REGGIO DI CALABRIA,080001,AFRICO,T,40,34,31,25,31,34,36,37,43,37,48
080,REGGIO DI CALABRIA,080001,AFRICO,T,41,36,35,31,25,27,33,36,35,36,36
080,REGGIO DI CALABRIA,080001,AFRICO,T,42,31,37,35,30,25,26,35,35,35,36
080,REGGIO DI CALABRIA,080001,AFRICO,T,43,38,31,35,35,30,27,25,32,33,38
080,REGGIO DI CALABRIA,080001,AFRICO,T,44,26,38,31,32,35,28,26,26,29,33
080,REGGIO DI CALABRIA,080001,AFRICO,T,45,34,26,37,31,33,35,27,24,24,30
080,REGGIO DI CALABRIA,080001,AFRICO,T,46,39,33,24,38,30,31,38,29,24,23
080,REGGIO DI CALABRIA,080001,AFRICO,T,47,35,38,33,25,34,30,32,36,26,28
080,REGGIO DI CALABRIA,080001,AFRICO,T,48,39,37,37,29,25,34,29,32,34,26
080,REGGIO DI CALABRIA,080001,AFRICO,T,49,39,38,33,37,28,22,32,29,31,34
080,REGGIO DI CALABRIA,080001,AFRICO,T,50,33,38,37,32,37,29,23,28,26,32
080,REGGIO DI CALABRIA,080001,AFRICO,T,51,30,32,38,38,32,35,27,21,28,25
080,REGGIO DI CALABRIA,080001,AFRICO,T,52,30,29,35,39,37,32,36,26,21,28
080,REGGIO DI CALABRIA,080001,AFRICO,T,53,24,28,28,33,37,37,32,38,25,21
080,REGGIO DI CALABRIA,080001,AFRICO,T,54,28,23,28,29,32,37,35,29,39,25
080,REGGIO DI CALABRIA,080001,AFRICO,T,55,24,27,21,27,29,32,37,35,28,35
080,REGGIO DI CALABRIA,080001,AFRICO,T,56,26,24,26,21,25,27,32,34,33,30
080,REGGIO DI CALABRIA,080001,AFRICO,T,57,22,25,26,26,19,26,29,30,32,34
080,REGGIO DI CALABRIA,080001,AFRICO,T,58,38,25,26,24,26,18,24,26,29,33
080,REGGIO DI CALABRIA,080001,AFRICO,T,59,24,36,25,25,24,26,18,26,24,28
080,REGGIO DI CALABRIA,080001,AFRICO,T,60,22,25,36,23,25,25,26,19,24,24
080,REGGIO DI CALABRIA,080001,AFRICO,T,61,28,22,26,36,20,23,23,27,16,25
080,REGGIO DI CALABRIA,080001,AFRICO,T,62,17,28,22,26,36,18,23,24,27,18
080,REGGIO DI CALABRIA,080001,AFRICO,T,63,8,18,27,20,24,35,19,20,21,28
080,REGGIO DI CALABRIA,080001,AFRICO,T,64,10,9,19,25,20,24,34,19,21,22
080,REGGIO DI CALABRIA,080001,AFRICO,T,65,12,12,8,18,27,20,24,35,20,22
080,REGGIO DI CALABRIA,080001,AFRICO,T,66,23,12,11,7,17,23,19,23,35,19
080,REGGIO DI CALABRIA,080001,AFRICO,T,67,27,23,12,11,8,18,24,19,22,35
080,REGGIO DI CALABRIA,080001,AFRICO,T,68,26,25,22,12,11,7,16,23,19,22
080,REGGIO DI CALABRIA,080001,AFRICO,T,69,22,24,24,20,12,11,7,15,23,19
080,REGGIO DI CALABRIA,080001,AFRICO,T,70,12,20,24,26,20,12,10,8,16,22
080,REGGIO DI CALABRIA,080001,AFRICO,T,71,18,11,21,21,23,20,11,10,7,18
080,REGGIO DI CALABRIA,080001,AFRICO,T,72,19,14,9,21,22,19,18,11,10,8
080,REGGIO DI CALABRIA,080001,AFRICO,T,73,31,16,14,8,21,18,19,16,11,9
080,REGGIO DI CALABRIA,080001,AFRICO,T,74,19,28,18,13,8,20,19,15,16,9
080,REGGIO DI CALABRIA,080001,AFRICO,T,75,13,17,26,16,13,8,20,17,16,18
080,REGGIO DI CALABRIA,080001,AFRICO,T,76,12,13,18,25,16,13,7,17,18,12
080,REGGIO DI CALABRIA,080001,AFRICO,T,77,11,10,12,15,25,15,12,7,17,15
080,REGGIO DI CALABRIA,080001,AFRICO,T,78,16,13,9,12,16,24,17,14,9,17
080,REGGIO DI CALABRIA,080001,AFRICO,T,79,13,11,12,9,13,13,20,17,12,9
080,REGGIO DI CALABRIA,080001,AFRICO,T,80,10,13,12,11,7,11,12,20,14,12
080,REGGIO DI CALABRIA,080001,AFRICO,T,81,11,10,12,14,10,6,11,14,21,14
080,REGGIO DI CALABRIA,080001,AFRICO,T,82,8,9,9,10,12,9,6,12,13,18
080,REGGIO DI CALABRIA,080001,AFRICO,T,83,8,8,10,10,9,10,9,5,14,10
080,REGGIO DI CALABRIA,080001,AFRICO,T,84,2,6,8,8,6,8,7,8,5,15
080,REGGIO DI CALABRIA,080001,AFRICO,T,85,38,31,31,32,33,32,40,35,39,42
080,REGGIO DI CALABRIA,080001,AFRICO,T,99,3496,3472,3473,3454,3450,3422,3415,3328,3249,3256
080,REGGIO DI CALABRIA,080001,AFRICO,M,0,34,34,38,38,39,40,27,30,28,31
080,REGGIO DI CALABRIA,080001,AFRICO,M,1,37,31,32,36,37,37,35,27,27,27
080,REGGIO DI CALABRIA,080001,AFRICO,M,2,33,37,31,31,34,35,39,31,26,26
080,REGGIO DI CALABRIA,080001,AFRICO,M,3,28,33,36,29,31,32,32,40,30,25
080,REGGIO DI CALABRIA,080001,AFRICO,M,4,36,27,33,35,28,30,32,31,40,29
080,REGGIO DI CALABRIA,080001,AFRICO,M,5,35,34,27,32,36,28,30,31,28,39
080,REGGIO DI CALABRIA,080001,AFRICO,M,6,42,35,33,26,34,35,29,28,30,29
080,REGGIO DI CALABRIA,080001,AFRICO,M,7,24,44,35,35,26,32,35,28,24,28
080,REGGIO DI CALABRIA,080001,AFRICO,M,8,42,24,42,34,32,25,32,33,27,24
080,REGGIO DI CALABRIA,080001,AFRICO,M,9,21,40,23,41,33,31,26,29,32,28
080,REGGIO DI CALABRIA,080001,AFRICO,M,10,41,19,40,23,41,31,32,23,28,33
080,REGGIO DI CALABRIA,080001,AFRICO,M,11,35,42,20,41,23,39,34,30,22,28
080,REGGIO DI CALABRIA,080001,AFRICO,M,12,30,34,42,20,39,24,40,31,29,22
080,REGGIO DI CALABRIA,080001,AFRICO,M,13,32,31,35,41,19,39,21,41,30,29
080,REGGIO DI CALABRIA,080001,AFRICO,M,14,39,32,31,33,40,18,38,21,40,29
080,REGGIO DI CALABRIA,080001,AFRICO,M,15,24,38,31,30,34,38,19,37,22,40
080,REGGIO DI CALABRIA,080001,AFRICO,M,16,36,23,39,30,29,35,39,17,37,20
080,REGGIO DI CALABRIA,080001,AFRICO,M,17,42,33,22,35,31,30,33,36,17,36
080,REGGIO DI CALABRIA,080001,AFRICO,M,18,43,42,33,21,35,31,30,34,35,17
080,REGGIO DI CALABRIA,080001,AFRICO,M,19,39,41,41,33,21,35,30,30,31,32
080,REGGIO DI CALABRIA,080001,AFRICO,M,20,39,36,40,42,32,21,34,28,27,30
080,REGGIO DI CALABRIA,080001,AFRICO,M,21,46,39,37,39,40,32,21,33,28,26
