"Età","Sesso","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"0","Maschi","68","66","79","55","66","59","73","60","56","58"
"0","Femmine","59","90","67","56","50","70","55","55","43","55"
"0","Totale","127","156","146","111","116","129","128","115","99","113"
"1","Maschi","64","62","65","77","56","68","56","72","56","59"
"1","Femmine","48","59","83","66","60","52","70","51","57","47"
"1","Totale","112","121","148","143","116","120","126","123","113","106"
"2","Maschi","64","65","60","64","78","55","64","56","70","56"
"2","Femmine","87","46","62","79","63","60","49","70","49","56"
"2","Totale","151","111","122","143","141","115","113","126","119","112"
"3","Maschi","62","64","60","59","57","70","57","64","54","70"
"3","Femmine","68","86","46","60","78","64","59","49","67","48"
"3","Totale","130","150","106","119","135","134","116","113","121","118"
"4","Maschi","79","59","61","58","59","59","70","55","64","55"
"4","Femmine","57","66","85","47","59","76","64","56","50","66"
"4","Totale","136","125","146","105","118","135","134","111","114","121"
"5","Maschi","77","77","58","59","59","62","62","68","56","65"
"5","Femmine","90","57","67","84","46","60","74","63","57","50"
"5","Totale","167","134","125","143","105","122","136","131","113","115"
"6","Maschi","71","77","77","59","58","59","60","61","67","56"
"6","Femmine","66","90","59","66","85","48","62","74","61","57"
"6","Totale","137","167","136","125","143","107","122","135","128","113"
"7","Maschi","72","70","78","77","60","61","61","62","62","67"
"7","Femmine","61","67","90","56","65","84","49","62","72","62"
"7","Totale","133","137","168","133","125","145","110","124","134","129"
"8","Maschi","64","74","67","79","80","62","62","65","63","63"
"8","Femmine","71","61","66","89","59","67","86","47","62","71"
"8","Totale","135","135","133","168","139","129","148","112","125","134"
"9","Maschi","74","63","75","68","80","80","63","62","67","65"
"9","Femmine","73","72","60","67","88","62","68","87","45","63"
"9","Totale","147","135","135","135","168","142","131","149","112","128"
"10","Maschi","85","72","64","75","67","81","82","66","65","69"
"10","Femmine","80","76","73","59","70","85","63","69","88","47"
"10","Totale","165","148","137","134","137","166","145","135","153","116"
"11","Maschi","75","85","73","62","75","66","83","81","67","68"
"11","Femmine","58","80","75","73","60","72","84","64","70","89"
"11","Totale","133","165","148","135","135","138","167","145","137","157"
"12","Maschi","68","75","86","73","61","75","66","84","81","69"
"12","Femmine","82","57","80","75","74","59","72","84","64","71"
"12","Totale","150","132","166","148","135","134","138","168","145","140"
"13","Maschi","89","68","76","87","75","62","74","67","83","81"
"13","Femmine","76","82","56","82","72","73","59","73","84","66"
"13","Totale","165","150","132","169","147","135","133","140","167","147"
"14","Maschi","86","88","68","74","89","75","61","72","66","84"
"14","Femmine","74","74","82","55","83","71","72","59","73","83"
"14","Totale","160","162","150","129","172","146","133","131","139","167"
"15","Maschi","99","86","85","68","73","89","77","63","71","68"
"15","Femmine","78","74","74","82","55","84","71","71","58","74"
"15","Totale","177","160","159","150","128","173","148","134","129","142"
"16","Maschi","92","100","86","84","69","73","91","79","61","71"
"16","Femmine","78","77","76","74","84","56","83","71","70","58"
"16","Totale","170","177","162","158","153","129","174","150","131","129"
